"# Channel 1"
"# Trace 1"
Frequency, Formatted Data, Formatted Data
+2.00000000000E+009, -1.78978630536E+000, +0.00000000000E+000
+2.00500000000E+009, -1.72614018978E+000, +0.00000000000E+000
+2.01000000000E+009, -1.57755039044E+000, +0.00000000000E+000
+2.01500000000E+009, -1.35525635865E+000, +0.00000000000E+000
+2.02000000000E+009, -1.08899811550E+000, +0.00000000000E+000
+2.02500000000E+009, -8.41822265861E-001, +0.00000000000E+000
+2.03000000000E+009, -6.23220546311E-001, +0.00000000000E+000
+2.03500000000E+009, -4.30779392340E-001, +0.00000000000E+000
+2.04000000000E+009, -2.54033097212E-001, +0.00000000000E+000
+2.04500000000E+009, -1.40797047142E-001, +0.00000000000E+000
+2.05000000000E+009, -4.23014373832E-002, +0.00000000000E+000
+2.05500000000E+009, +4.77361239828E-002, +0.00000000000E+000
+2.06000000000E+009, +1.18065054201E-001, +0.00000000000E+000
+2.06500000000E+009, +1.37554680888E-001, +0.00000000000E+000
+2.07000000000E+009, +1.66019215494E-001, +0.00000000000E+000
+2.07500000000E+009, +1.76856676289E-001, +0.00000000000E+000
+2.08000000000E+009, +1.60417264073E-001, +0.00000000000E+000
+2.08500000000E+009, +1.51299896338E-001, +0.00000000000E+000
+2.09000000000E+009, +1.10783219321E-001, +0.00000000000E+000
+2.09500000000E+009, +6.54627727192E-002, +0.00000000000E+000
+2.10000000000E+009, -1.24130077053E-002, +0.00000000000E+000
+2.10500000000E+009, -1.01423570392E-001, +0.00000000000E+000
+2.11000000000E+009, -1.98614454636E-001, +0.00000000000E+000
+2.11500000000E+009, -3.09181836995E-001, +0.00000000000E+000
+2.12000000000E+009, -4.62222388583E-001, +0.00000000000E+000
+2.12500000000E+009, -6.52499068155E-001, +0.00000000000E+000
+2.13000000000E+009, -8.58166558169E-001, +0.00000000000E+000
+2.13500000000E+009, -1.09506779192E+000, +0.00000000000E+000
+2.14000000000E+009, -1.39206088190E+000, +0.00000000000E+000
+2.14500000000E+009, -1.71661239328E+000, +0.00000000000E+000
+2.15000000000E+009, -1.98409489380E+000, +0.00000000000E+000
+2.15500000000E+009, -2.21560132098E+000, +0.00000000000E+000
+2.16000000000E+009, -2.36641724138E+000, +0.00000000000E+000
+2.16500000000E+009, -2.33247248575E+000, +0.00000000000E+000
+2.17000000000E+009, -2.16619258469E+000, +0.00000000000E+000
+2.17500000000E+009, -1.95469405437E+000, +0.00000000000E+000
+2.18000000000E+009, -1.65142149019E+000, +0.00000000000E+000
+2.18500000000E+009, -1.38679699426E+000, +0.00000000000E+000
+2.19000000000E+009, -1.14249373405E+000, +0.00000000000E+000
+2.19500000000E+009, -9.32660919652E-001, +0.00000000000E+000
+2.20000000000E+009, -7.75405269174E-001, +0.00000000000E+000
+2.20500000000E+009, -6.80478480788E-001, +0.00000000000E+000
+2.21000000000E+009, -5.83462414515E-001, +0.00000000000E+000
+2.21500000000E+009, -5.53925256308E-001, +0.00000000000E+000
+2.22000000000E+009, -5.16222907086E-001, +0.00000000000E+000
+2.22500000000E+009, -4.92095357068E-001, +0.00000000000E+000
