"# Channel 1"
"# Trace 1"
Frequency, Formatted Data, Formatted Data
+2.00000000000E+009, +1.95077115956E+001, +7.83767964693E+001
+2.00500000000E+009, +2.57262656436E+001, +9.52818449958E+001
+2.01000000000E+009, +3.30212169893E+001, +1.16205208891E+002
+2.01500000000E+009, +4.01134517450E+001, +1.42134140088E+002
+2.02000000000E+009, +4.55104194297E+001, +1.70843390967E+002
+2.02500000000E+009, +4.75214616856E+001, +2.00287862211E+002
+2.03000000000E+009, +4.33553866462E+001, +2.24744088360E+002
+2.03500000000E+009, +3.27214248046E+001, +2.38681602185E+002
+2.04000000000E+009, +2.17923118933E+001, +2.38444719463E+002
+2.04500000000E+009, +1.17470275925E+001, +2.28139328192E+002
+2.05000000000E+009, +4.48779170820E+000, +2.11197212702E+002
+2.05500000000E+009, -1.51058510227E-001, +1.91085492459E+002
+2.06000000000E+009, -2.90605318051E+000, +1.71882778001E+002
+2.06500000000E+009, -3.01427036208E+000, +1.54168174649E+002
+2.07000000000E+009, -3.16945857430E+000, +1.38131441590E+002
+2.07500000000E+009, -2.98148772987E+000, +1.24494956152E+002
+2.08000000000E+009, -2.17870925935E+000, +1.12397843792E+002
+2.08500000000E+009, -1.70270851221E+000, +1.02264229003E+002
+2.09000000000E+009, -9.93114999803E-001, +9.38205861775E+001
+2.09500000000E+009, -2.64053790864E-001, +8.66357223832E+001
+2.10000000000E+009, +5.75820351113E-001, +8.06817511283E+001
+2.10500000000E+009, +1.31639981920E+000, +7.56780765363E+001
+2.11000000000E+009, +2.26194700033E+000, +7.20164410457E+001
+2.11500000000E+009, +3.06245790085E+000, +6.90807401042E+001
+2.12000000000E+009, +4.23648223022E+000, +6.72537250939E+001
+2.12500000000E+009, +5.65972303710E+000, +6.63651636874E+001
+2.13000000000E+009, +7.52779916577E+000, +6.69964578521E+001
+2.13500000000E+009, +9.98430193587E+000, +6.91797504777E+001
+2.14000000000E+009, +1.36238320079E+001, +7.33826933963E+001
+2.14500000000E+009, +1.90663794424E+001, +8.01556090923E+001
+2.15000000000E+009, +2.70184693261E+001, +9.06153143678E+001
+2.15500000000E+009, +4.02679446066E+001, +1.05674338134E+002
+2.16000000000E+009, +6.37808285341E+001, +1.27915876810E+002
+2.16500000000E+009, +1.05209569863E+002, +1.57266167169E+002
+2.17000000000E+009, +1.85716684667E+002, +1.88860007822E+002
+2.17500000000E+009, +3.28925371378E+002, +1.78928410521E+002
+2.18000000000E+009, +5.02430326953E+002, +4.60218841494E+001
+2.18500000000E+009, +5.22521572038E+002, -1.96332885762E+002
+2.19000000000E+009, +4.19567932543E+002, -3.51837826040E+002
+2.19500000000E+009, +3.34428744661E+002, -4.21832586126E+002
+2.20000000000E+009, +3.03505078666E+002, -4.69635495104E+002
+2.20500000000E+009, +3.13460776533E+002, -5.23829754501E+002
+2.21000000000E+009, +3.85530248352E+002, -6.12808777937E+002
+2.21500000000E+009, +6.10382569221E+002, -7.15059665067E+002
+2.22000000000E+009, +1.21191940030E+003, -6.13992772912E+002
+2.22500000000E+009, +1.49714201645E+003, +3.45215832444E+002
+2.23000000000E+009, +7.05665903319E+002, +8.02974350375E+002
+2.23500000000E+009, +3.29542645152E+002, +6.29567134423E+002
+2.24000000000E+009, +1.95376319686E+002, +4.90768435446E+002
+2.24500000000E+009, +1.44659350265E+002, +3.96214072325E+002
+2.25000000000E+009, +1.20491747371E+002, +3.33795251077E+002
+2.25500000000E+009, +1.17432907604E+002, +2.88170719015E+002
+2.26000000000E+009, +1.23913381887E+002, +2.57872974309E+002
+2.26500000000E+009, +1.39194226227E+002, +2.27124904716E+002
+2.27000000000E+009, +1.65757619626E+002, +1.96985773934E+002
+2.27500000000E+009, +1.94825600369E+002, +1.52199676690E+002
+2.28000000000E+009, +2.10746241311E+002, +8.36128712281E+001
+2.28500000000E+009, +1.92926083084E+002, +1.04212450816E+001
